id,text,label,review_text,is_ai,date
1,AI-generated content sample 1: This is an example of text generated by 1 in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,1,11/25/2023
2,AI-generated content sample 2: This is an example of text generated by Bard in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,1,11/15/2024
3,Human-written text sample 3: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,0,8/11/2024
4,AI-generated content sample 4: This is an example of text generated by Claude in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,1,4/27/2024
5,Human-written text sample 5: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,0,8/15/2024
6,Human-written text sample 6: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,0,1/6/2024
8,Human-written text sample 8: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,0,11/1/2023
35,AI-generated content sample 35: This is an example of text generated by GPT-4 in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,1,9/12/2023
9,AI sample 1,AI-generated,Summarize how neural networks are trained.,1,10/20/2024
10,AI sample 2,AI-generated,Write a blog post about the role of data in machine learning.,1,05/27/2025
11,AI sample 3,AI-generated,Summarize how neural networks are trained.,1,05/24/2025
12,AI sample 4,AI-generated,Generate a paragraph on the importance of ethical AI.,1,07/06/2025
13,AI sample 5,AI-generated,Create an overview of generative AI tools used today.,1,10/04/2025
14,AI sample 6,AI-generated,Generate a paragraph on the importance of ethical AI.,1,08/19/2025
15,AI sample 7,AI-generated,Describe how natural language processing enhances chatbots.,1,01/09/2025
16,AI sample 8,AI-generated,Describe how natural language processing enhances chatbots.,1,05/20/2025
17,AI sample 9,AI-generated,Explain the concept of reinforcement learning with an example.,1,04/26/2025
18,AI sample 10,AI-generated,Create an overview of generative AI tools used today.,1,04/30/2025
19,AI sample 11,AI-generated,Discuss the future of AI in healthcare and medicine.,1,04/21/2025
20,AI sample 12,AI-generated,Describe the process of computer vision in self-driving cars.,1,04/21/2025
21,AI sample 13,AI-generated,Describe the process of computer vision in self-driving cars.,1,01/03/2025
22,AI sample 14,AI-generated,Discuss the future of AI in healthcare and medicine.,1,01/16/2025
23,AI sample 15,AI-generated,Explain the concept of reinforcement learning with an example.,1,10/04/2025
24,AI sample 16,AI-generated,Generate a paragraph on the importance of ethical AI.,1,11/08/2024
25,AI sample 17,AI-generated,Summarize how neural networks are trained.,1,01/21/2025
26,AI sample 18,AI-generated,Create an overview of generative AI tools used today.,1,04/14/2025
27,AI sample 19,AI-generated,Generate a paragraph on the importance of ethical AI.,1,08/27/2025
28,AI sample 20,AI-generated,Describe the process of computer vision in self-driving cars.,1,10/14/2025
29,AI sample 21,AI-generated,Describe the process of computer vision in self-driving cars.,1,04/24/2025
30,AI sample 22,AI-generated,Write a blog post about the role of data in machine learning.,1,07/30/2025
31,AI sample 23,AI-generated,Generate a paragraph on the importance of ethical AI.,1,08/19/2025
32,AI sample 24,AI-generated,Write an article about the impact of artificial intelligence on jobs.,1,11/09/2024
33,AI sample 25,AI-generated,Describe the process of computer vision in self-driving cars.,1,12/07/2024
34,AI sample 26,AI-generated,Explain the concept of reinforcement learning with an example.,1,08/05/2025
35,AI sample 27,AI-generated,Create an overview of generative AI tools used today.,1,09/14/2025
36,AI sample 28,AI-generated,Discuss the future of AI in healthcare and medicine.,1,01/30/2025
37,AI sample 29,AI-generated,Explain the concept of reinforcement learning with an example.,1,03/11/2025
38,AI sample 30,AI-generated,Create an overview of generative AI tools used today.,1,12/19/2024
39,AI sample 31,AI-generated,Summarize how neural networks are trained.,1,03/13/2025
40,AI sample 32,AI-generated,Describe how natural language processing enhances chatbots.,1,05/01/2025
41,AI sample 33,AI-generated,Explain the concept of reinforcement learning with an example.,1,12/22/2024
42,AI sample 34,AI-generated,Generate a paragraph on the importance of ethical AI.,1,12/19/2024
43,AI sample 35,AI-generated,Write a blog post about the role of data in machine learning.,1,04/25/2025
44,AI sample 36,AI-generated,Explain the significance of large language models.,1,01/27/2025
45,AI sample 37,AI-generated,Describe how natural language processing enhances chatbots.,1,07/20/2025
46,AI sample 38,AI-generated,Create an overview of generative AI tools used today.,1,10/11/2025
47,AI sample 39,AI-generated,Summarize how neural networks are trained.,1,05/11/2025
48,AI sample 40,AI-generated,Explain the concept of reinforcement learning with an example.,1,04/08/2025
49,AI sample 41,AI-generated,Explain the concept of reinforcement learning with an example.,1,08/12/2025
50,AI sample 42,AI-generated,Discuss the future of AI in healthcare and medicine.,1,03/27/2025
51,AI sample 43,AI-generated,Write an article about the impact of artificial intelligence on jobs.,1,05/26/2025
52,AI sample 44,AI-generated,Discuss the future of AI in healthcare and medicine.,1,01/03/2025
53,AI sample 45,AI-generated,Discuss the future of AI in healthcare and medicine.,1,12/14/2024
54,AI sample 46,AI-generated,Write a blog post about the role of data in machine learning.,1,11/11/2024
55,AI sample 47,AI-generated,Explain the concept of reinforcement learning with an example.,1,07/17/2025
56,AI sample 48,AI-generated,Create an overview of generative AI tools used today.,1,09/07/2025
57,AI sample 49,AI-generated,Create an overview of generative AI tools used today.,1,01/16/2025
58,AI sample 50,AI-generated,Explain the concept of reinforcement learning with an example.,1,01/15/2025
59,AI sample 51,AI-generated,Describe how natural language processing enhances chatbots.,1,10/02/2025
60,AI sample 52,AI-generated,Write a blog post about the role of data in machine learning.,1,04/21/2025
61,AI sample 53,AI-generated,Create an overview of generative AI tools used today.,1,04/30/2025
62,AI sample 54,AI-generated,Write a blog post about the role of data in machine learning.,1,12/21/2024
63,AI sample 55,AI-generated,Describe the process of computer vision in self-driving cars.,1,12/12/2024
64,AI sample 56,AI-generated,Explain the concept of reinforcement learning with an example.,1,05/06/2025
65,AI sample 57,AI-generated,Describe the process of computer vision in self-driving cars.,1,12/02/2024
66,AI sample 58,AI-generated,Explain the significance of large language models.,1,01/01/2025
67,AI sample 59,AI-generated,Write a blog post about the role of data in machine learning.,1,03/11/2025
68,AI sample 60,AI-generated,Write an article about the impact of artificial intelligence on jobs.,1,10/18/2025
69,AI sample 61,AI-generated,Discuss the future of AI in healthcare and medicine.,1,10/28/2024
70,AI sample 62,AI-generated,Explain the significance of large language models.,1,08/20/2025
71,AI sample 63,AI-generated,Describe how natural language processing enhances chatbots.,1,02/13/2025
72,AI sample 64,AI-generated,Discuss the future of AI in healthcare and medicine.,1,08/16/2025
73,AI sample 65,AI-generated,Summarize how neural networks are trained.,1,06/07/2025
74,AI sample 66,AI-generated,Write a blog post about the role of data in machine learning.,1,06/01/2025
75,AI sample 67,AI-generated,Describe the process of computer vision in self-driving cars.,1,09/28/2025
76,AI sample 68,AI-generated,Write a blog post about the role of data in machine learning.,1,11/02/2024
77,AI sample 69,AI-generated,Describe the process of computer vision in self-driving cars.,1,08/19/2025
78,AI sample 70,AI-generated,Write an article about the impact of artificial intelligence on jobs.,1,02/07/2025
79,AI sample 71,AI-generated,Create an overview of generative AI tools used today.,1,07/13/2025
80,AI sample 72,AI-generated,Explain the concept of reinforcement learning with an example.,1,03/18/2025
81,AI sample 73,AI-generated,Create an overview of generative AI tools used today.,1,09/12/2025
82,AI sample 74,AI-generated,Describe how natural language processing enhances chatbots.,1,10/26/2024
83,AI sample 75,AI-generated,Summarize how neural networks are trained.,1,11/20/2024
84,AI sample 76,AI-generated,Explain the significance of large language models.,1,03/05/2025
85,AI sample 77,AI-generated,Describe how natural language processing enhances chatbots.,1,10/19/2025
86,AI sample 78,AI-generated,Write an article about the impact of artificial intelligence on jobs.,1,06/26/2025
87,AI sample 79,AI-generated,Summarize how neural networks are trained.,1,06/08/2025
88,AI sample 80,AI-generated,Write an article about the impact of artificial intelligence on jobs.,1,12/23/2024
89,AI sample 81,AI-generated,Summarize how neural networks are trained.,1,02/05/2025
90,AI sample 82,AI-generated,Summarize how neural networks are trained.,1,10/01/2025
91,AI sample 83,AI-generated,Discuss the future of AI in healthcare and medicine.,1,09/01/2025
92,AI sample 84,AI-generated,Describe how natural language processing enhances chatbots.,1,01/08/2025
93,AI sample 85,AI-generated,Write a blog post about the role of data in machine learning.,1,03/06/2025
94,AI sample 86,AI-generated,Discuss the future of AI in healthcare and medicine.,1,07/18/2025
95,AI sample 87,AI-generated,Summarize how neural networks are trained.,1,08/26/2025
96,AI sample 88,AI-generated,Explain the significance of large language models.,1,03/19/2025
97,AI sample 89,AI-generated,Discuss the future of AI in healthcare and medicine.,1,07/23/2025
98,AI sample 90,AI-generated,Discuss the future of AI in healthcare and medicine.,1,08/11/2025
99,AI sample 91,AI-generated,Write a blog post about the role of data in machine learning.,1,10/17/2025
100,AI sample 92,AI-generated,Explain the significance of large language models.,1,01/26/2025
101,AI sample 93,AI-generated,Explain the significance of large language models.,1,06/03/2025
102,AI sample 94,AI-generated,Describe how natural language processing enhances chatbots.,1,08/07/2025
103,AI sample 95,AI-generated,Summarize how neural networks are trained.,1,11/22/2024
104,AI sample 96,AI-generated,Write an article about the impact of artificial intelligence on jobs.,1,04/12/2025
105,AI sample 97,AI-generated,Write a blog post about the role of data in machine learning.,1,12/29/2024
106,AI sample 98,AI-generated,Generate a paragraph on the importance of ethical AI.,1,01/03/2025
107,AI sample 99,AI-generated,Explain the concept of reinforcement learning with an example.,1,11/17/2024
108,AI sample 100,AI-generated,Describe how natural language processing enhances chatbots.,1,12/11/2024
109,AI sample 101,AI-generated,Write a blog post about the role of data in machine learning.,1,12/20/2024
110,AI sample 102,AI-generated,Summarize how neural networks are trained.,1,04/08/2025
111,AI sample 103,AI-generated,Write a blog post about the role of data in machine learning.,1,10/24/2024
112,AI sample 104,AI-generated,Explain the concept of reinforcement learning with an example.,1,04/17/2025
113,AI sample 105,AI-generated,Summarize how neural networks are trained.,1,01/15/2025
114,AI sample 106,AI-generated,Describe how natural language processing enhances chatbots.,1,01/15/2025
115,AI sample 107,AI-generated,Summarize how neural networks are trained.,1,02/11/2025
116,AI sample 108,AI-generated,Generate a paragraph on the importance of ethical AI.,1,02/20/2025
117,AI sample 109,AI-generated,Write a blog post about the role of data in machine learning.,1,07/05/2025
118,AI sample 110,AI-generated,Explain the significance of large language models.,1,09/07/2025
119,AI sample 111,AI-generated,Describe how natural language processing enhances chatbots.,1,07/30/2025
120,AI sample 112,AI-generated,Describe how natural language processing enhances chatbots.,1,07/05/2025
121,AI sample 113,AI-generated,Write an article about the impact of artificial intelligence on jobs.,1,07/22/2025
122,AI sample 114,AI-generated,Write a blog post about the role of data in machine learning.,1,02/19/2025
123,AI sample 115,AI-generated,Create an overview of generative AI tools used today.,1,01/09/2025
124,AI sample 116,AI-generated,Discuss the future of AI in healthcare and medicine.,1,04/03/2025
125,AI sample 117,AI-generated,Discuss the future of AI in healthcare and medicine.,1,06/05/2025
126,AI sample 118,AI-generated,Describe how natural language processing enhances chatbots.,1,12/20/2024
127,AI sample 119,AI-generated,Create an overview of generative AI tools used today.,1,07/03/2025
128,AI sample 120,AI-generated,Generate a paragraph on the importance of ethical AI.,1,02/04/2025
129,AI sample 121,AI-generated,Create an overview of generative AI tools used today.,1,12/08/2024
130,AI sample 122,AI-generated,Create an overview of generative AI tools used today.,1,12/02/2024
131,AI sample 123,AI-generated,Write an article about the impact of artificial intelligence on jobs.,1,02/07/2025
132,AI sample 124,AI-generated,Explain the concept of reinforcement learning with an example.,1,09/18/2025
133,AI sample 125,AI-generated,Describe how natural language processing enhances chatbots.,1,07/20/2025
134,AI sample 126,AI-generated,Summarize how neural networks are trained.,1,06/20/2025
135,AI sample 127,AI-generated,Discuss the future of AI in healthcare and medicine.,1,01/18/2025
136,AI sample 128,AI-generated,Describe how natural language processing enhances chatbots.,1,12/19/2024
137,AI sample 129,AI-generated,Explain the concept of reinforcement learning with an example.,1,04/07/2025
138,AI sample 130,AI-generated,Describe the process of computer vision in self-driving cars.,1,10/29/2024
139,AI sample 131,AI-generated,Discuss the future of AI in healthcare and medicine.,1,10/22/2024
140,AI sample 132,AI-generated,Create an overview of generative AI tools used today.,1,12/23/2024
141,AI sample 133,AI-generated,Explain the concept of reinforcement learning with an example.,1,01/21/2025
142,AI sample 134,AI-generated,Summarize how neural networks are trained.,1,04/03/2025
143,AI sample 135,AI-generated,Write a blog post about the role of data in machine learning.,1,03/14/2025
144,AI sample 136,AI-generated,Explain the concept of reinforcement learning with an example.,1,01/09/2025
145,AI sample 137,AI-generated,Create an overview of generative AI tools used today.,1,02/19/2025
146,AI sample 138,AI-generated,Write a blog post about the role of data in machine learning.,1,02/03/2025
147,AI sample 139,AI-generated,Explain the concept of reinforcement learning with an example.,1,05/11/2025
148,AI sample 140,AI-generated,Explain the concept of reinforcement learning with an example.,1,05/30/2025
149,AI sample 141,AI-generated,Write an article about the impact of artificial intelligence on jobs.,1,01/14/2025
150,AI sample 142,AI-generated,Write a blog post about the role of data in machine learning.,1,04/24/2025
151,AI sample 143,AI-generated,Generate a paragraph on the importance of ethical AI.,1,10/09/2025
152,AI sample 144,AI-generated,Explain the concept of reinforcement learning with an example.,1,05/05/2025
153,AI sample 145,AI-generated,Explain the significance of large language models.,1,02/20/2025
154,AI sample 146,AI-generated,Create an overview of generative AI tools used today.,1,06/26/2025
155,AI sample 147,AI-generated,Create an overview of generative AI tools used today.,1,07/07/2025
156,AI sample 148,AI-generated,Write an article about the impact of artificial intelligence on jobs.,1,07/24/2025
157,AI sample 149,AI-generated,Write an article about the impact of artificial intelligence on jobs.,1,10/19/2025
158,AI sample 150,AI-generated,Discuss the future of AI in healthcare and medicine.,1,09/01/2025
159,AI sample 151,AI-generated,Describe the process of computer vision in self-driving cars.,1,10/09/2025
160,AI sample 152,AI-generated,Describe how natural language processing enhances chatbots.,1,12/21/2024
161,AI sample 153,AI-generated,Write a blog post about the role of data in machine learning.,1,07/11/2025
162,AI sample 154,AI-generated,Explain the concept of reinforcement learning with an example.,1,06/30/2025
163,AI sample 155,AI-generated,Generate a paragraph on the importance of ethical AI.,1,10/14/2025
164,AI sample 156,AI-generated,Summarize how neural networks are trained.,1,06/08/2025
165,AI sample 157,AI-generated,Describe the process of computer vision in self-driving cars.,1,08/27/2025
166,AI sample 158,AI-generated,Describe how natural language processing enhances chatbots.,1,08/08/2025
167,AI sample 159,AI-generated,Describe how natural language processing enhances chatbots.,1,05/05/2025
168,AI sample 160,AI-generated,Create an overview of generative AI tools used today.,1,03/11/2025
169,AI sample 161,AI-generated,Discuss the future of AI in healthcare and medicine.,1,07/21/2025
170,AI sample 162,AI-generated,Write an article about the impact of artificial intelligence on jobs.,1,05/03/2025
171,AI sample 163,AI-generated,Discuss the future of AI in healthcare and medicine.,1,06/09/2025
172,AI sample 164,AI-generated,Write a blog post about the role of data in machine learning.,1,04/16/2025
173,AI sample 165,AI-generated,Describe how natural language processing enhances chatbots.,1,06/16/2025
174,AI sample 166,AI-generated,Describe the process of computer vision in self-driving cars.,1,04/05/2025
175,AI sample 167,AI-generated,Discuss the future of AI in healthcare and medicine.,1,04/30/2025
176,AI sample 168,AI-generated,Explain the significance of large language models.,1,05/27/2025
177,AI sample 169,AI-generated,Explain the concept of reinforcement learning with an example.,1,07/24/2025
178,AI sample 170,AI-generated,Write an article about the impact of artificial intelligence on jobs.,1,05/10/2025
179,AI sample 171,AI-generated,Create an overview of generative AI tools used today.,1,09/13/2025
180,AI sample 172,AI-generated,Write a blog post about the role of data in machine learning.,1,08/15/2025
181,AI sample 173,AI-generated,Explain the significance of large language models.,1,10/21/2024
182,AI sample 174,AI-generated,Describe how natural language processing enhances chatbots.,1,11/09/2024
183,AI sample 175,AI-generated,Write a blog post about the role of data in machine learning.,1,01/04/2025
184,AI sample 176,AI-generated,Write a blog post about the role of data in machine learning.,1,10/03/2025
